Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00+05:30,27.380976577369676,28.484834671020508,27.380976577369676,28.484834671020508,792266,0.0,0.0
2000-01-04 00:00:00+05:30,30.40302120700558,30.76302909851074,29.764130940755532,30.763029098510742,1612133,0.0,0.0
2000-01-05 00:00:00+05:30,30.76302632192774,33.20094691473565,28.302288663787273,30.392370223999023,4040959,0.0,0.0
2000-01-06 00:00:00+05:30,31.325865517801613,31.944472428929416,28.30381579934321,29.612018585205078,2309813,0.0,0.0
2000-01-07 00:00:00+05:30,28.993400415262254,28.993400415262254,27.24355316162109,27.243553161621094,745866,0.0,0.0
2000-01-10 00:00:00+05:30,28.283532473791485,29.42288390712883,26.873918748107418,27.056459426879883,1523306,0.0,0.0
2000-01-11 00:00:00+05:30,27.24355430658844,28.496487313457635,25.149924261798912,25.453142166137695,1245813,0.0,0.0
2000-01-12 00:00:00+05:30,25.064231484967685,26.36634944035689,24.49075341107232,26.062623977661133,757919,0.0,0.0
2000-01-13 00:00:00+05:30,26.265449161960717,26.56968221163314,24.845694930156096,25.043445587158203,725226,0.0,0.0
2000-01-14 00:00:00+05:30,25.149934768676758,25.403462378506422,24.33864641722183,25.149934768676758,1113493,0.0,0.0
2000-01-17 00:00:00+05:30,26.289788121440903,27.16141700744629,26.289788121440903,27.16141700744629,303253,0.0,0.0
2000-01-18 00:00:00+05:30,27.73590875975763,28.496491380036854,26.762363418442703,27.888025283813477,1404613,0.0,0.0
2000-01-19 00:00:00+05:30,27.94887442273764,28.648610919692416,27.78661719264109,28.141555786132812,1122879,0.0,0.0
2000-01-20 00:00:00+05:30,28.37480191434054,28.891997736862248,28.14155572809908,28.349449157714844,827919,0.0,0.0
2000-01-21 00:00:00+05:30,28.395074864899005,30.61698913574219,27.888019882911095,30.616989135742188,3941226,0.0,0.0
2000-01-24 00:00:00+05:30,32.451516321054676,33.06606674194336,31.183878803575034,33.06606674194336,866906,0.0,0.0
2000-01-25 00:00:00+05:30,33.86619671698114,35.71086502075195,33.86619671698114,35.71086502075195,1020719,0.0,0.0
2000-01-27 00:00:00+05:30,38.272506029701,38.5676155090332,38.02404990234566,38.5676155090332,453119,0.0,0.0
2000-01-28 00:00:00+05:30,41.65254211425782,41.65254211425782,41.05117757196223,41.65254211425781,2022479,0.0,0.0
2000-01-31 00:00:00+05:30,43.596581972274194,44.98439328626954,38.32067648710141,40.31086730957031,4556773,0.0,0.0
2000-02-01 00:00:00+05:30,40.7773652230625,43.53523635864257,40.686092836914206,43.53523635864258,4315679,0.0,0.0
2000-02-02 00:00:00+05:30,45.12789365922583,47.0176887512207,45.12789365922583,47.0176887512207,2717786,0.0,0.0
2000-02-03 00:00:00+05:30,48.67727241768197,50.69534952383682,48.373039439281314,50.50267028808594,3207359,0.0,0.0
2000-02-04 00:00:00+05:30,50.7055092754129,54.542395639587,50.7055092754129,53.43295669555664,2884479,0.0,0.0
2000-02-07 00:00:00+05:30,54.255403283085116,55.6746501216141,52.22667517729108,52.73373031616211,2327119,0.0,0.0
2000-02-08 00:00:00+05:30,52.63231156546581,53.74783270729779,48.930809594841534,49.93224334716797,2162479,0.0,0.0
2000-02-09 00:00:00+05:30,50.70550976067798,53.926324993128844,50.70550976067798,52.73373031616211,2733439,0.0,0.0
2000-02-10 00:00:00+05:30,53.30163033787785,56.95191955566407,52.48019941449346,56.95191955566406,3228293,0.0,0.0
2000-02-11 00:00:00+05:30,59.32543821170617,61.50780105590821,58.41273909881185,61.5078010559082,2600559,0.0,0.0
2000-02-14 00:00:00+05:30,62.72271723202008,66.42827606201172,62.36777863096178,66.42827606201172,2744959,0.0,0.0
2000-02-15 00:00:00+05:30,66.42827426918402,71.7422103881836,63.12835964374872,71.7422103881836,2223706,0.0,0.0
